feature_name,display_name,group_name,source_layer,formula,supports_snapshot,ui_snapshot_visible,ui_health_visible,sample_health_coverage,retention_action,risk_flags,tags
total_mv,total_mv,fundamental,raw,$total_mv,True,True,True,0.989967,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
debt_to_asset,debt_to_asset,fundamental_context,semantic_derived,,True,True,True,0.996656,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
float_mktcap,float_mktcap,fundamental_context,semantic_derived,,True,True,True,1.0,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
gross_margin,gross_margin,fundamental_context,semantic_derived,,True,True,True,0.832776,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
log_mktcap,log_mktcap,fundamental_context,semantic_derived,,True,True,True,0.989967,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
net_margin,net_margin,fundamental_context,semantic_derived,,True,True,True,0.989967,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
operating_cf_to_profit,operating_cf_to_profit,fundamental_context,semantic_derived,,True,True,True,0.976589,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
pb_raw,pb_raw,fundamental_context,semantic_derived,,True,True,True,0.989967,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
pe_ttm,pe_ttm,fundamental_context,semantic_derived,,True,True,True,0.949833,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
profit_yoy,profit_yoy,fundamental_context,semantic_derived,,True,True,True,0.983278,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
ps_ttm,ps_ttm,fundamental_context,semantic_derived,,True,False,False,0.0,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
revenue_yoy,revenue_yoy,fundamental_context,semantic_derived,,True,True,True,0.983278,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
roa,roa,fundamental_context,semantic_derived,,True,True,True,0.973244,keep_with_review,pit_review,"fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
roe,roe,fundamental_context,semantic_derived,$roe,True,True,False,0.0,keep_with_review,pit_review,"adapter_field,fundamental_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
industry_breadth,industry_breadth,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
industry_ret_1d,industry_ret_1d,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
industry_ret_3d,industry_ret_3d,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
industry_ret_5d,industry_ret_5d,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
stock_minus_industry_ret,stock_minus_industry_ret,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
stock_minus_industry_ret_3d,stock_minus_industry_ret_3d,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,relative_strength,research_ui,semantic"
stock_minus_industry_ret_5d,stock_minus_industry_ret_5d,industry_context,semantic_derived,,True,True,True,1.0,keep_semantic,,"industry_context,model:qlib_lgbm_semantic_all_features,relative_strength,research_ui,semantic"
amount,amount,liquidity,raw,$amount,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
amount_log,amount_log,liquidity,semantic_derived,,True,True,True,1.0,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
amount_zscore_20,amount_zscore_20,liquidity,semantic_derived,,True,True,True,0.993311,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
big_inflow,big_inflow,liquidity,raw,$big_inflow,True,True,True,0.996656,keep_core,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
illiquidity,illiquidity,liquidity,semantic_derived,,True,True,True,1.0,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
net_inflow,net_inflow,liquidity,raw,$net_inflow,True,True,True,0.996656,keep_core,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
turnover_acceleration,turnover_acceleration,liquidity,semantic_derived,,True,True,True,0.989967,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
turnover_rate,turnover_rate,liquidity,semantic_derived,$turnover_rate,True,True,True,0.989967,keep_semantic,,"adapter_field,liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
volume,volume,liquidity,raw,$volume,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
volume_shock_3,volume_shock_3,liquidity,semantic_derived,,True,True,True,1.0,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
volume_shock_5,volume_shock_5,liquidity,semantic_derived,,True,True,True,0.996656,keep_semantic,,"liquidity,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
lend_repay_volume,lend_repay_volume,margin,raw,$lend_repay_volume,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
lend_sell_volume,lend_sell_volume,margin,raw,$lend_sell_volume,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
lend_volume,lend_volume,margin,raw,$lend_volume,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
margin_balance,margin_balance,margin,raw,$margin_balance,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
margin_buy_amount,margin_buy_amount,margin,raw,$margin_buy_amount,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
margin_repay_amount,margin_repay_amount,margin,raw,$margin_repay_amount,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
margin_total_balance,margin_total_balance,margin,raw,$margin_total_balance,True,True,True,0.993311,keep_with_review,coverage_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
close_pos_in_range,close_pos_in_range,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
close_to_open_gap_1d,close_to_open_gap_1d,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
intraday_reversal_strength,intraday_reversal_strength,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
lower_shadow_ratio,lower_shadow_ratio,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
open_pos_in_range,open_pos_in_range,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
open_to_close_ret,open_to_close_ret,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
upper_shadow_ratio,upper_shadow_ratio,microstructure,semantic_derived,,True,True,True,1.0,keep_semantic,,"microstructure,model:qlib_lgbm_semantic_all_features,research_ui,semantic"
close,close,price,raw,$close,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
factor,factor,price,raw,$factor,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
high,high,price,raw,$high,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
low,low,price,raw,$low,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
open,open,price,raw,$open,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
vwap,vwap,price,raw,$vwap,True,True,True,1.0,keep_core,,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
$high/$close,$high/$close,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
$low/$close,$low/$close,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
$open/$close,$open/$close,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
$vwap/$close,$vwap/$close,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
($close-$open)/$open,($close-$open)/$open,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
($close-$open)/($high-$low+1e-12),($close-$open)/($high-$low+1e-12),qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)","($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)","($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)","($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)","($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)","($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
($high-$low)/$open,($high-$low)/$open,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($high-Greater($open, $close))/$open","($high-Greater($open, $close))/$open",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"($high-Greater($open, $close))/($high-$low+1e-12)","($high-Greater($open, $close))/($high-$low+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
(2*$close-$high-$low)/$open,(2*$close-$high-$low)/$open,qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
(2*$close-$high-$low)/($high-$low+1e-12),(2*$close-$high-$low)/($high-$low+1e-12),qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(IdxMax($high, 10)-IdxMin($low, 10))/10","(IdxMax($high, 10)-IdxMin($low, 10))/10",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(IdxMax($high, 20)-IdxMin($low, 20))/20","(IdxMax($high, 20)-IdxMin($low, 20))/20",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(IdxMax($high, 30)-IdxMin($low, 30))/30","(IdxMax($high, 30)-IdxMin($low, 30))/30",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(IdxMax($high, 5)-IdxMin($low, 5))/5","(IdxMax($high, 5)-IdxMin($low, 5))/5",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(IdxMax($high, 60)-IdxMin($low, 60))/60","(IdxMax($high, 60)-IdxMin($low, 60))/60",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Less($open, $close)-$low)/$open","(Less($open, $close)-$low)/$open",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Less($open, $close)-$low)/($high-$low+1e-12)","(Less($open, $close)-$low)/($high-$low+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)","(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)","(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)","(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)","(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)","(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)","(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)","(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)","(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)","(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)","(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close, Log($volume+1), 10)","Corr($close, Log($volume+1), 10)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close, Log($volume+1), 20)","Corr($close, Log($volume+1), 20)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close, Log($volume+1), 30)","Corr($close, Log($volume+1), 30)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close, Log($volume+1), 5)","Corr($close, Log($volume+1), 5)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close, Log($volume+1), 60)","Corr($close, Log($volume+1), 60)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)","Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)","Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)","Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)","Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)","Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMax($high, 10)/10","IdxMax($high, 10)/10",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMax($high, 20)/20","IdxMax($high, 20)/20",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMax($high, 30)/30","IdxMax($high, 30)/30",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMax($high, 5)/5","IdxMax($high, 5)/5",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMax($high, 60)/60","IdxMax($high, 60)/60",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMin($low, 10)/10","IdxMin($low, 10)/10",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMin($low, 20)/20","IdxMin($low, 20)/20",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMin($low, 30)/30","IdxMin($low, 30)/30",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMin($low, 5)/5","IdxMin($low, 5)/5",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"IdxMin($low, 60)/60","IdxMin($low, 60)/60",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Max($high, 10)/$close","Max($high, 10)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Max($high, 20)/$close","Max($high, 20)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Max($high, 30)/$close","Max($high, 30)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Max($high, 5)/$close","Max($high, 5)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Max($high, 60)/$close","Max($high, 60)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close, 10)/$close","Mean($close, 10)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close, 20)/$close","Mean($close, 20)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close, 30)/$close","Mean($close, 30)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close, 5)/$close","Mean($close, 5)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close, 60)/$close","Mean($close, 60)/$close",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close<Ref($close, 1), 10)","Mean($close<Ref($close, 1), 10)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close<Ref($close, 1), 20)","Mean($close<Ref($close, 1), 20)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close<Ref($close, 1), 30)","Mean($close<Ref($close, 1), 30)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close<Ref($close, 1), 5)","Mean($close<Ref($close, 1), 5)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close<Ref($close, 1), 60)","Mean($close<Ref($close, 1), 60)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close>Ref($close, 1), 10)","Mean($close>Ref($close, 1), 10)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)","Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
"Mean($close>Ref($close, 1), 20)","Mean($close>Ref($close, 1), 20)",qlib_native,qlib_native,,True,True,True,1.0,keep_observe,expression_review,"model:qlib_lgbm_semantic_all_features,research_ui"
