feature_id,feature_name,feature_group,kind,source_table,dependencies,compute_fn,pit_rule,cacheable,formula,yaml_refs,registry_refs,status,notes
ret_120d,ret_120d,relative_strength,derived,,,build_relative_strength_features,rolling_past,yes,120-day close return,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volume_ratio_20d,volume_ratio_20d,relative_strength,derived,,,,rolling_past,yes,Volume ratio vs 20d average,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volume_ratio_60d,volume_ratio_60d,relative_strength,derived,,,,rolling_past,yes,Volume ratio vs 60d average,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
distance_to_120d_high,distance_to_120d_high,relative_strength,derived,,,,rolling_past,yes,Price distance to 120-day high,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
distance_to_250d_high,distance_to_250d_high,relative_strength,derived,,,,rolling_past,no,Price distance to 250-day high,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
up_day_ratio_60d,up_day_ratio_60d,relative_strength,derived,,,,rolling_past,yes,Ratio of up days over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
up_day_ratio_120d,up_day_ratio_120d,relative_strength,derived,,,,rolling_past,yes,Ratio of up days over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
trend_smoothness_60d,trend_smoothness_60d,relative_strength,derived,,,,rolling_past,yes,Trend smoothness (regression R2) over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
trend_smoothness_120d,trend_smoothness_120d,relative_strength,derived,,,,rolling_past,yes,Trend smoothness (regression R2) over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
max_pullback_120d,max_pullback_120d,relative_strength,derived,,,,rolling_past,yes,Max peak-to-trough pullback over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volatility_adjusted_return_60d,volatility_adjusted_return_60d,relative_strength,derived,,,,rolling_past,yes,60d return divided by 60d volatility,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volatility_adjusted_return_120d,volatility_adjusted_return_120d,relative_strength,derived,,,,rolling_past,yes,120d return divided by 120d volatility,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_60d,rps_60d,relative_strength,derived,,,build_relative_strength_features,cross_sectional,yes,Relative Price Strength rank over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_120d,rps_120d,relative_strength,derived,,,build_relative_strength_features,cross_sectional,yes,Relative Price Strength rank over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_20d,rps_20d,relative_strength,derived,,,build_relative_strength_features,cross_sectional,yes,Relative Price Strength rank over 20d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_20d_minus_rps_60d,rps_20d_minus_rps_60d,relative_strength,derived,,,,cross_sectional,yes,Short-term RPS minus medium-term RPS,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_industry_60d,rps_industry_60d,relative_strength,derived,,,build_relative_strength_features,cross_sectional,yes,Industry-relative RPS over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
rps_industry_120d,rps_industry_120d,relative_strength,derived,,,build_relative_strength_features,cross_sectional,yes,Industry-relative RPS over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
price_percentile_252d,price_percentile_252d,relative_strength,derived,,,,rolling_past,no,Current price percentile over 252d range,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
distance_to_252d_low,distance_to_252d_low,relative_strength,derived,,,,rolling_past,no,Price distance to 252-day low,value_growth_60d_full_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volume_up_down_ratio_60d,volume_up_down_ratio_60d,relative_strength,derived,,,,rolling_past,yes,Up-volume to down-volume ratio over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
above_avg_volume_ratio_60d,above_avg_volume_ratio_60d,relative_strength,derived,,,,rolling_past,yes,Ratio of days above avg volume over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
amount_ratio_20d,amount_ratio_20d,relative_strength,derived,,,,rolling_past,yes,Amount ratio vs 20d average,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
amount_ratio_60d,amount_ratio_60d,relative_strength,derived,,,,rolling_past,yes,Amount ratio vs 60d average,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volume_spike_20d,volume_spike_20d,relative_strength,derived,,,,rolling_past,yes,Volume spike intensity over 20d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
volume_stability_60d,volume_stability_60d,relative_strength,derived,,,,rolling_past,yes,Volume stability (inverse CV) over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
market_breadth,market_breadth,regime,derived,,,build_regime_features,rolling_past,no,Fraction of stocks above 20d MA in index,alpha_v1_clean_132,regime,active,
limit_up_breadth,limit_up_breadth,regime,derived,,,build_regime_features,rolling_past,no,Fraction of index stocks hitting limit-up,alpha_v1_clean_132,regime,active,
index_volatility_5,index_volatility_5,regime,derived,,,build_regime_features,rolling_past,no,Index 5-day realised volatility,alpha_v1_clean_132,regime,active,
index_volatility_10,index_volatility_10,regime,derived,,,build_regime_features,rolling_past,no,Index 10-day realised volatility,alpha_v1_clean_132,regime,active,
index_volatility_20,index_volatility_20,regime,derived,,,build_regime_features,rolling_past,no,Index 20-day realised volatility,alpha_v1_clean_132,regime,active,
small_vs_large_strength,small_vs_large_strength,regime,derived,,,build_regime_features,rolling_past,no,Small-cap vs large-cap relative strength,alpha_v1_clean_132,regime,active,
growth_vs_value_proxy,growth_vs_value_proxy,regime,derived,,,build_regime_features,rolling_past,no,Growth vs value style spread proxy,alpha_v1_clean_132,regime,active,
market_trend_strength,market_trend_strength,regime,derived,,,build_regime_features,rolling_past,no,Index trend strength (slope / vol),alpha_v1_clean_132,regime,active,
industry_ret_1d,industry_ret_1d,industry_context,derived,,,build_industry_context_features,cross_sectional,no,Industry-benchmark 1d return,alpha_v1_clean_132,industry_context,active,
industry_ret_3d,industry_ret_3d,industry_context,derived,,,build_industry_context_features,cross_sectional,no,Industry-benchmark 3d return,alpha_v1_clean_132,industry_context,active,
industry_ret_5d,industry_ret_5d,industry_context,derived,,,build_industry_context_features,cross_sectional,no,Industry-benchmark 5d return,alpha_v1_clean_132,industry_context,active,
industry_breadth,industry_breadth,industry_context,derived,,,build_industry_context_features,cross_sectional,no,Fraction of industry stocks with positive return,alpha_v1_clean_132,industry_context,active,
stock_minus_industry_ret,stock_minus_industry_ret,industry_context,derived,,,,cross_sectional,no,Stock return minus industry return (1d),alpha_v1_clean_132,industry_context,active,
stock_minus_industry_ret_3d,stock_minus_industry_ret_3d,industry_context,derived,,,,cross_sectional,no,Stock 3d return minus industry 3d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,industry_context,active,
stock_minus_industry_ret_5d,stock_minus_industry_ret_5d,industry_context,derived,,,,cross_sectional,no,Stock 5d return minus industry 5d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,industry_context,active,
log_mktcap,log_mktcap,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Log of total market capitalisation,alpha_v1_clean_132,fundamental_context,active,
float_mktcap,float_mktcap,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Float market capitalisation,alpha_v1_clean_132,fundamental_context,active,
pe_ttm,pe_ttm,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Price-to-earnings ratio (TTM),,fundamental_context,active,
pb_raw,pb_raw,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Price-to-book ratio,,fundamental_context,active,
ps_ttm,ps_ttm,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Price-to-sales ratio (TTM),,fundamental_context,active,
roe,roe,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Return on equity,,fundamental_context,active,
roa,roa,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Return on assets,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
gross_margin,gross_margin,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Gross profit margin,alpha_v1_clean_132,fundamental_context,active,
net_margin,net_margin,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Net profit margin,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
operating_cf_to_profit,operating_cf_to_profit,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Operating cash flow to net profit ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
debt_to_asset,debt_to_asset,fundamental_context,derived,,,build_fundamental_context_features,rolling_past,no,Total debt to total assets ratio,alpha_v1_clean_132,fundamental_context,active,
revenue_yoy,revenue_yoy,fundamental_context,derived,,,build_fundamental_context_features,point_in_time,no,Revenue year-over-year growth,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
profit_yoy,profit_yoy,fundamental_context,derived,,,build_fundamental_context_features,point_in_time,no,Net profit year-over-year growth,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
inventory_yoy,inventory_yoy,fundamental_context,derived,,,build_fundamental_context_features,point_in_time,no,Inventory year-over-year change,,fundamental_context,active,
ar_yoy,ar_yoy,fundamental_context,derived,,,build_fundamental_context_features,point_in_time,no,Accounts receivable year-over-year change,,fundamental_context,active,
